搜易贷,华北,刘悦,搜易贷,非银信贷,P2P,
天天有余,华北,刘悦,天天有余,非银信贷,P2P,
信和财富管理（北京）有限公司,华北,刘悦,信和财富,非银信贷,小贷,
北银消费,华北,张弛,北银消费,非银信贷,消费金融,综合消费金融
国美金控,华北,张弛,国美金控,非银信贷,消费金融,综合消费金融
好贷网,华北,张弛,好贷网,非银信贷,渠道,网贷平台
人人友信,华北,张弛,人人友信,非银信贷,P2P,
随时记,华北,张弛,随时记,非银信贷,P2P,
新有利网,华北,张弛,美利金融,非银信贷,消费金融,蓝领消费金融
翼龙贷,华北,张弛,翼龙贷,非银信贷,P2P,
中邮消费,华北,张弛,中邮消费,非银信贷,消费金融,蓝领消费金融
光大银行卡中心,华北,郑豫东,光大信用卡,银行信贷,信用卡,
灿谷投资,华东,施青辰,灿谷投资,非银信贷,消费金融,汽车消费金融
大树金融,华东,施青辰,杭州大树,非银信贷,P2P,
拍拍贷,华东,张剑铭,拍拍贷,非银信贷,P2P,
你我贷,华东,周愉,你我贷,非银信贷,P2P,
湖南一秒通金融,华中,杨谦,湖南一秒通,非银信贷,消费金融,学生消费金融
成都农商银行,西南,刘峰,成都农商,银行信贷,银行小微,
惠信小货,西南,刘峰,惠信小货,非银信贷,小贷,
